match_id,stage,group,datetime,status,home,away,home_score,away_score,home_red_cards,away_red_cards,venue
74,Round of 32,,2026-06-29 18:00,scheduled,1st Group C,2nd Group F,,,,,"NRG Stadium, Houston"
75,Round of 32,,2026-06-29 21:30,scheduled,1st Group E,3rd place finisher,,,,,"Gillette Stadium, Foxborough"
76,Round of 32,,2026-06-30 02:00,scheduled,1st Group F,2nd Group C,,,,,"Estadio BBVA, Monterrey"
77,Round of 32,,2026-06-30 18:00,scheduled,2nd Group E,2nd Group I,,,,,"AT&T Stadium, Arlington"
78,Round of 32,,2026-06-30 22:00,scheduled,1st Group I,3rd place finisher,,,,,"MetLife Stadium, East Rutherford"
79,Round of 32,,2026-07-01 02:00,scheduled,1st Group A,3rd place finisher,,,,,"Estadio Azteca, Mexico City"
80,Round of 32,,2026-07-01 17:00,scheduled,1st Group L,3rd place finisher,,,,,"Mercedes-Benz Stadium, Atlanta"
81,Round of 32,,2026-07-01 21:00,scheduled,1st Group G,3rd place finisher,,,,,"Lumen Field, Seattle"
82,Round of 32,,2026-07-02 01:00,scheduled,1st Group D,3rd place finisher,,,,,"Levi's Stadium, Santa Clara"
83,Round of 32,,2026-07-02 20:00,scheduled,1st Group H,2nd Group J,,,,,"SoFi Stadium, Inglewood"
84,Round of 32,,2026-07-03 00:00,scheduled,2nd Group K,2nd Group L,,,,,"BMO Field, Toronto"
85,Round of 32,,2026-07-03 04:00,scheduled,1st Group B,3rd place finisher,,,,,"BC Place, Vancouver"
86,Round of 32,,2026-07-03 19:00,scheduled,2nd Group D,2nd Group G,,,,,"AT&T Stadium, Arlington"
87,Round of 32,,2026-07-03 23:00,scheduled,1st Group J,2nd Group H,,,,,"Hard Rock Stadium, Miami"
88,Round of 32,,2026-07-04 02:30,scheduled,1st Group K,3rd place finisher,,,,,"Arrowhead Stadium, Kansas City"
89,Round of 16,,2026-07-04 18:00,scheduled,Winner R32 M1,Winner R32 M3,,,,,"NRG Stadium, Houston"
90,Round of 16,,2026-07-04 22:00,scheduled,Winner R32 M2,Winner R32 M5,,,,,"Lincoln Financial Field, Philadelphia"
91,Round of 16,,2026-07-05 21:00,scheduled,Winner R32 M4,Winner R32 M6,,,,,"MetLife Stadium, East Rutherford"
92,Round of 16,,2026-07-06 01:00,scheduled,Winner R32 M7,Winner R32 M8,,,,,"Estadio Azteca, Mexico City"
93,Round of 16,,2026-07-06 20:00,scheduled,Winner R32 M11,Winner R32 M12,,,,,"AT&T Stadium, Arlington"
94,Round of 16,,2026-07-07 01:00,scheduled,Winner R32 M9,Winner R32 M10,,,,,"Lumen Field, Seattle"
95,Round of 16,,2026-07-07 17:00,scheduled,Winner R32 M14,Winner R32 M16,,,,,"Mercedes-Benz Stadium, Atlanta"
96,Round of 16,,2026-07-07 21:00,scheduled,Winner R32 M13,Winner R32 M15,,,,,"BC Place, Vancouver"
97,Quarter-final,,2026-07-09 21:00,scheduled,Winner R16 M1,Winner R16 M2,,,,,"Gillette Stadium, Foxborough"
98,Quarter-final,,2026-07-10 20:00,scheduled,Winner R16 M5,Winner R16 M6,,,,,"SoFi Stadium, Inglewood"
99,Quarter-final,,2026-07-11 22:00,scheduled,Winner R16 M3,Winner R16 M4,,,,,"Hard Rock Stadium, Miami"
100,Quarter-final,,2026-07-12 02:00,scheduled,Winner R16 M7,Winner R16 M8,,,,,"Arrowhead Stadium, Kansas City"
101,Semi-final,,2026-07-14 20:00,scheduled,Winner QF1,Winner QF2,,,,,"AT&T Stadium, Arlington"
102,Semi-final,,2026-07-15 20:00,scheduled,Winner QF3,Winner QF4,,,,,"Mercedes-Benz Stadium, Atlanta"
103,Third-place match,,2026-07-18 22:00,scheduled,Loser SF1,Loser SF2,,,,,"Hard Rock Stadium, Miami"
104,Final,,2026-07-19 20:00,scheduled,Winner SF1,Winner SF2,,,,,"MetLife Stadium, East Rutherford"
